Epoch 012 || Loss: 0.7250 | Time: 42.02 | Test Dice: 0.0194 
Epoch 013 || Loss: 0.7216 | Time: 41.95 | Test Dice: 0.0208 
Epoch 014 || Loss: 0.7183 | Time: 41.89 | Test Dice: 0.0206 
Epoch 015 || Loss: 0.7152 | Time: 42.07 | Test Dice: 0.0212 
Epoch 001 || Loss: 0.8724 | Time: 41.86 | Test Dice: 0.0432 
Epoch 002 || Loss: 0.8539 | Time: 41.45 | Test Dice: 0.0432 
Epoch 003 || Loss: 0.8435 | Time: 41.54 | Test Dice: 0.0432 
Epoch 004 || Loss: 0.8355 | Time: 41.79 | Test Dice: 0.0432 
Epoch 005 || Loss: 0.8265 | Time: 41.80 | Test Dice: 0.0431 
Epoch 006 || Loss: 0.8195 | Time: 41.75 | Test Dice: 0.0437 
Epoch 007 || Loss: 0.8119 | Time: 41.99 | Test Dice: 0.0492 
Epoch 008 || Loss: 0.8060 | Time: 41.89 | Test Dice: 0.0556 
Epoch 009 || Loss: 0.8002 | Time: 41.94 | Test Dice: 0.0555 
Epoch 010 || Loss: 0.7947 | Time: 41.94 | Test Dice: 0.0555 
Epoch 001 || Loss: 0.4711 | Time: 42.54 | Test Dice: 0.0000 
Epoch 002 || Loss: 0.4397 | Time: 42.07 | Test Dice: 0.0000 
Epoch 003 || Loss: 0.4105 | Time: 41.95 | Test Dice: 0.0000 
Epoch 004 || Loss: 0.3855 | Time: 41.99 | Test Dice: 0.0000 
Epoch 005 || Loss: 0.3720 | Time: 41.95 | Test Dice: 0.0000 
Epoch 006 || Loss: 0.3624 | Time: 41.96 | Test Dice: 0.0000 
Epoch 007 || Loss: 0.3551 | Time: 42.04 | Test Dice: 0.0000 
Epoch 008 || Loss: 0.3494 | Time: 42.24 | Test Dice: 0.0000 
Epoch 009 || Loss: 0.3452 | Time: 42.14 | Test Dice: 0.0000 
Epoch 010 || Loss: 0.3419 | Time: 42.58 | Test Dice: 0.0000 
Epoch 011 || Loss: 0.3393 | Time: 42.09 | Test Dice: 0.0000 
Epoch 012 || Loss: 0.3371 | Time: 42.03 | Test Dice: 0.0000 
Epoch 013 || Loss: 0.3351 | Time: 42.30 | Test Dice: 0.0000 
Epoch 014 || Loss: 0.3333 | Time: 42.00 | Test Dice: 0.0000 
Epoch 015 || Loss: 0.3317 | Time: 42.19 | Test Dice: 0.0000 
Epoch 001 || Loss: 0.4942 | Time: 42.11 | Test Dice: 0.0000 
Epoch 002 || Loss: 0.4683 | Time: 41.88 | Test Dice: 0.0000 
